origin_stop_id,reachable_stop_id,walking_time
at:47:61038:0,at:47:64782:0,0 days 00:02:47.037696
at:47:61038:0,at:47:64853:0,0 days 00:02:33.691761600
at:47:61039:0,at:47:61037:0,0 days 00:02:32.475022800
at:47:61039:0,at:47:61038:0,0 days 00:01:04.938715200
at:47:61039:0,at:47:61040:0,0 days 00:02:08.775578400
at:47:61039:0,at:47:61041:0,0 days 00:04:17.677952400
at:47:61039:0,at:47:62218:0,0 days 00:02:38.353988400
at:47:61039:0,at:47:64661:0,0 days 00:02:45.507109200
at:47:61039:0,at:47:64782:0,0 days 00:03:41.620546800
at:47:61039:0,at:47:64853:0,0 days 00:03:29.040429600
at:47:61040:0,at:47:61037:0,0 days 00:04:03.270741600
at:47:61040:0,at:47:61038:0,0 days 00:03:13.399473600
at:47:61040:0,at:47:61039:0,0 days 00:02:08.775578400
at:47:61040:0,at:47:61041:0,0 days 00:02:12.389373599
at:47:61040:0,at:47:61042:0,0 days 00:03:40.678444800
at:47:61040:0,at:47:61045:0,0 days 00:04:17.042019600
at:47:61040:0,at:47:62218:0,0 days 00:03:55.505448
at:47:61040:0,at:47:64661:0,0 days 00:03:38.483161200
at:47:61041:0,at:47:61039:0,0 days 00:04:17.677952400
at:47:61041:0,at:47:61040:0,0 days 00:02:12.389373599
at:47:61041:0,at:47:61042:0,0 days 00:01:28.715826
at:47:61041:0,at:47:61043:0,0 days 00:02:57.178766400
at:47:61041:0,at:47:61044:0,0 days 00:04:09.451556400
at:47:61041:0,at:47:61045:0,0 days 00:03:16.151907600
at:47:61041:0,at:47:64661:0,0 days 00:04:55.260861600
at:47:61042:0,at:47:61040:0,0 days 00:03:40.678444800
at:47:61042:0,at:47:61041:0,0 days 00:01:28.715826
at:47:61042:0,at:47:61043:0,0 days 00:01:29.537695200
at:47:61042:0,at:47:61044:0,0 days 00:03:14.107622400
at:47:61042:0,at:47:61045:0,0 days 00:03:07.979511600
at:47:61042:0,at:47:64856:0,0 days 00:04:34.457829600
at:47:61043:0,at:47:61041:0,0 days 00:02:57.178766400
at:47:61043:0,at:47:61042:0,0 days 00:01:29.537695200
at:47:61043:0,at:47:61044:0,0 days 00:02:30.459541200
at:47:61043:0,at:47:61045:0,0 days 00:03:21.866832
at:47:61043:0,at:47:64660:0,0 days 00:03:47.934442800
at:47:61043:0,at:47:64856:0,0 days 00:03:46.153299600
at:47:61044:0,at:47:61041:0,0 days 00:04:09.451556400
at:47:61044:0,at:47:61042:0,0 days 00:03:14.107622400
at:47:61044:0,at:47:61043:0,0 days 00:02:30.459541200
